Left-Weight,Left-Distance,Right-Weight,Right-Distance,ClassName,R,L,B,Error*,S.Error**
3,3,2,5,R,1.00,0.00,0.00,0.00,0.00
3,1,2,5,R,1.00,0.00,0.00,0.00,0.00
3,2,1,5,L,0.00,1.00,0.00,0.00,0.00
3,5,1,5,L,0.00,1.00,0.00,0.00,0.00
3,4,1,5,L,0.00,1.00,0.00,0.00,0.00
3,3,4,5,R,1.00,0.00,0.00,0.00,0.00
3,3,3,5,R,1.00,0.00,0.00,0.00,0.00
3,1,3,5,R,1.00,0.00,0.00,0.00,0.00
3,2,1,1,L,0.00,1.00,0.00,0.00,0.00
3,2,3,1,L,0.00,1.00,0.00,0.00,0.00
3,5,2,1,L,0.00,1.00,0.00,0.00,0.00
3,4,2,1,L,0.00,1.00,0.00,0.00,0.00
3,4,5,1,L,0.00,1.00,0.00,0.00,0.00
3,4,4,1,L,0.00,1.00,0.00,0.00,0.00
3,4,3,1,L,0.00,1.00,0.00,0.00,0.00
3,4,4,4,R,1.00,0.00,0.00,0.00,0.00
3,4,1,4,L,0.00,1.00,0.00,0.00,0.00
3,2,1,4,L,0.00,1.00,0.00,0.00,0.00
3,5,1,4,L,0.00,1.00,0.00,0.00,0.00
3,2,5,4,R,1.00,0.00,0.00,0.00,0.00
3,5,5,4,R,1.00,0.00,0.00,0.00,0.00
3,5,2,3,L,0.00,1.00,0.00,0.00,0.00
3,1,5,2,R,1.00,0.00,0.00,0.00,0.00
3,1,3,2,R,1.00,0.00,0.00,0.00,0.00
3,4,1,2,L,0.00,1.00,0.00,0.00,0.00
3,4,3,2,L,0.00,1.00,0.00,0.00,0.00
3,4,2,2,L,0.00,1.00,0.00,0.00,0.00
3,4,4,2,L,0.00,1.00,0.00,0.00,0.00
3,5,3,2,L,0.00,1.00,0.00,0.00,0.00
3,3,3,2,L,0.00,1.00,0.00,0.00,0.00
2,3,4,5,R,1.00,0.00,0.00,0.00,0.00
2,3,2,5,R,1.00,0.00,0.00,0.00,0.00
2,1,3,4,R,1.00,0.00,0.00,0.00,0.00
2,1,2,3,R,1.00,0.00,0.00,0.00,0.00
2,1,1,5,R,1.00,0.00,0.00,0.00,0.00
2,1,5,5,R,1.00,0.00,0.00,0.00,0.00
2,1,4,5,R,1.00,0.00,0.00,0.00,0.00
2,4,5,4,R,1.00,0.00,0.00,0.00,0.00
2,4,1,1,L,0.00,1.00,0.00,0.00,0.00
2,4,3,1,L,0.00,1.00,0.00,0.00,0.00
2,5,1,1,L,0.00,1.00,0.00,0.00,0.00
2,5,3,1,L,0.00,1.00,0.00,0.00,0.00
5,3,4,1,L,0.00,1.00,0.00,0.00,0.00
5,3,1,2,L,0.00,1.00,0.00,0.00,0.00
5,3,2,2,L,0.00,1.00,0.00,0.00,0.00
5,4,5,3,L,0.00,1.00,0.00,0.00,0.00
5,4,3,1,L,0.00,1.00,0.00,0.00,0.00
5,2,1,2,L,0.00,1.00,0.00,0.00,0.00
5,2,1,1,L,0.00,1.00,0.00,0.00,0.00
4,4,4,5,R,1.00,0.00,0.00,0.00,0.00
4,5,3,2,L,0.00,1.00,0.00,0.00,0.00
4,4,3,1,L,0.00,1.00,0.00,0.00,0.00
4,4,3,4,L,0.00,1.00,0.00,0.00,0.00
4,3,1,1,L,0.00,1.00,0.00,0.00,0.00
4,3,1,5,L,0.00,1.00,0.00,0.00,0.00
4,2,1,2,L,0.00,1.00,0.00,0.00,0.00
4,4,1,4,L,0.00,1.00,0.00,0.00,0.00
4,5,1,2,L,0.00,1.00,0.00,0.00,0.00
4,3,5,2,L,0.00,1.00,0.00,0.00,0.00
4,5,5,2,L,0.00,1.00,0.00,0.00,0.00
4,1,5,3,R,1.00,0.00,0.00,0.00,0.00
4,2,5,1,L,0.00,1.00,0.00,0.00,0.00
4,3,5,1,L,0.00,1.00,0.00,0.00,0.00
4,3,5,5,R,1.00,0.00,0.00,0.00,0.00
4,5,2,1,L,0.00,1.00,0.00,0.00,0.00
4,5,2,4,L,0.00,1.00,0.00,0.00,0.00
4,2,2,3,L,0.00,1.00,0.00,0.00,0.00
4,3,2,2,L,0.00,1.00,0.00,0.00,0.00
1,1,3,3,R,1.00,0.00,0.00,0.00,0.00
1,1,2,5,R,1.00,0.00,0.00,0.00,0.00
1,4,2,5,R,1.00,0.00,0.00,0.00,0.00
1,2,2,4,R,1.00,0.00,0.00,0.00,0.00
1,3,2,4,R,1.00,0.00,0.00,0.00,0.00
1,1,2,3,R,1.00,0.00,0.00,0.00,0.00
1,4,5,3,R,1.00,0.00,0.00,0.00,0.00
1,5,5,5,R,1.00,0.00,0.00,0.00,0.00
1,2,5,4,R,1.00,0.00,0.00,0.00,0.00
1,4,4,4,R,1.00,0.00,0.00,0.00,0.00
1,3,4,2,R,1.00,0.00,0.00,0.00,0.00
1,4,4,5,R,1.00,0.00,0.00,0.00,0.00
1,4,4,3,R,1.00,0.00,0.00,0.00,0.00
5,5,3,2,L,0.00,1.00,0.00,0.00,0.00
5,5,5,2,L,0.00,1.00,0.00,0.00,0.00
5,5,5,4,L,0.00,1.00,0.00,0.00,0.00
5,5,4,4,L,0.00,1.00,0.00,0.00,0.00
5,5,2,2,L,0.00,1.00,0.00,0.00,0.00
5,5,1,4,L,0.00,1.00,0.00,0.00,0.00
